사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.22,3호선,315,무악재,21,0,1786,119,5427,1347,14237,2952,18328,6017,11240,3447,8202,3619,7147,3931,6797,4378,6292,4950,5800,5259,5562,7002,5851,8614,7330,10669,6841,15236,3139,12901,2295,8227,2002,8218,1402,7379,626,5014,99,1385,3,28,3,9,0,0
Dec.22,3호선,316,독립문,148,4,4757,691,5685,5137,14098,14088,18274,19737,14647,16286,13206,14044,14833,10648,14881,10642,13719,11553,13293,10732,14060,11962,15849,12958,16371,14291,15349,16358,7215,13022,5546,8906,4599,8146,3242,7819,1231,5198,182,2208,8,768,1,18,0,48
Dec.22,3호선,317,경복궁(정부서울청사),69,4,2532,1584,5938,12532,12764,35317,19237,118507,19535,77426,19067,52652,26525,50707,31109,46570,36554,45436,46128,38849,54666,34315,66161,33578,81146,37407,102894,38764,43970,23767,38298,13530,40733,12026,28352,11641,11250,6857,1598,2306,81,82,441,20,2,3
Dec.22,3호선,318,안국,18,0,1658,1525,2904,19124,5900,83156,9849,109024,11868,79245,14751,61701,23262,67989,33015,60341,37532,56362,49267,52336,65181,43206,85477,39573,123209,36493,116500,30758,51858,14821,45265,7591,42793,6895,25149,6068,8709,3370,1475,1060,57,37,26,16,0,2
Dec.22,3호선,319,종로3가,48,3,777,815,1255,5397,1620,15153,2696,45278,3906,43970,6205,35044,9395,28879,11093,27568,12847,25042,15855,22939,19501,20846,24611,20159,37045,19708,55687,19103,29110,10235,17880,5396,19623,4383,15357,3383,7094,2230,724,798,31,76,44,60,1,19
Dec.22,3호선,320,을지로3가,18,0,635,959,944,9296,2078,31970,3876,81255,6173,33709,9358,17283,11292,14272,11950,14185,13334,13960,16332,12703,18025,12741,22425,14363,43980,17857,68010,19821,27164,10941,20004,5320,21719,3966,17672,3024,9318,1899,1499,597,28,59,22,12,0,1
Dec.22,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,2,0,1,0,4,0,7,0,6,0,6,0,5,0,8,0,1,0,2,0,0,0,0,0,0,0
Dec.22,3호선,322,동대입구,24,1,1748,1084,2640,8334,5568,14476,8087,47802,6793,33674,7096,23855,9910,20773,10052,18778,12644,20068,17567,16060,18174,14320,24060,16956,30821,21386,43603,21029,18876,11102,17020,5653,23630,5604,15774,4329,6787,2632,518,968,12,104,3,8,0,9
Dec.22,3호선,323,약수,88,0,6804,954,10159,6363,24727,14909,38418,33303,28099,21329,19689,15432,18817,15440,21088,16481,21406,16642,20880,18823,21722,20613,25059,25432,28531,30488,33312,43528,18771,27564,15091,18418,15630,17735,12650,16479,5757,9914,922,3774,3,654,4,18,1,63
Dec.22,3호선,324,금호,25,1,4438,456,9958,2410,24405,4449,36556,8491,23412,6241,15072,6292,13166,7035,13013,8191,12312,9670,10553,11107,10677,13896,12404,16126,12917,21271,11723,30040,7471,21182,5596,14962,4360,13616,3609,13130,1745,7305,261,2314,8,34,2,8,0,4
Dec.22,3호선,325,옥수,225,17,2694,835,8746,4491,21056,8490,30528,14202,21143,9822,15420,8178,14739,10662,14136,11459,14715,13064,14996,14409,15371,16657,16388,19482,18944,25799,17412,32520,10572,23040,8402,15728,7897,15168,5598,14614,2437,7931,357,2250,4,24,1,10,1,1
Dec.22,3호선,326,압구정,108,1,2879,2111,7934,22128,14364,46536,24355,147306,20686,158875,25332,85446,33465,71882,39768,59773,46124,62572,57245,55928,66645,54254,80312,56032,105073,72133,141968,71998,97367,38112,80057,17691,69759,15025,51279,12239,15150,7090,2271,2533,16,270,54,33,0,0
Dec.22,3호선,327,신사,46,4,4281,1782,6400,17300,10553,43231,17516,98286,15176,135699,18460,71433,24819,53357,30345,50525,35898,52012,44413,50191,54062,47781,64751,52817,92639,64960,127003,78770,90457,41528,64536,18867,75291,15051,65701,11914,32043,8131,4767,3487,47,76,73,30,0,0
Dec.22,3호선,328,잠원,2,0,1111,1010,4348,7556,10627,6786,17350,9889,11081,6539,7741,4749,8243,5667,8183,5791,7794,6807,7609,6962,8499,7560,12638,8326,12709,10648,9037,12810,5162,9417,3528,6453,3658,7124,2289,7450,769,4101,163,1303,2,12,14,15,0,0
Dec.22,3호선,329,고속터미널,103,3,5063,3900,6669,31790,23820,46782,43279,75048,51115,96360,55740,101465,72801,112306,86268,106305,96763,108824,111246,113494,127050,118703,139760,114805,153232,119291,145863,123356,122160,76480,131322,48359,83604,38303,49254,26346,17785,13208,1839,2360,10,40,10,36,0,0
