사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.22,경인선,1812,인천,309,31,1279,1004,3375,3139,6101,5291,5209,8372,3211,3898,3440,4781,4112,6487,5461,7468,6626,6164,7719,5966,9013,5067,11074,4717,12531,4195,11918,4077,5298,3130,4453,2415,3024,1979,1637,1802,467,1428,21,1145,1,19,0,1,0,0
Dec.22,경인선,1813,구일,208,9,3991,1208,9422,4034,25371,7342,23847,12588,13552,10495,10220,7527,9829,8626,10400,12136,9639,12937,9527,14590,12583,16018,17213,15878,13599,15913,11747,25235,6086,19202,16876,11417,5662,10897,4961,9588,4946,6733,73,478,0,0,0,0,0,0
Dec.22,경인선,1814,소사,987,6,13426,2966,14075,5194,30044,7401,27643,10666,18023,10205,15294,8507,14213,9403,14437,11238,13127,11189,12172,11696,12732,12926,14569,17440,13791,21085,11376,26439,6385,22971,4837,14402,4216,13773,2752,12383,1163,9830,61,1527,0,3,0,0,0,0
Dec.22,경인선,1815,부개,1613,10,9695,1573,16097,3297,38713,5501,33034,10695,19089,6277,14900,5507,13914,7591,13966,8767,13056,10522,10750,10801,10876,13509,13050,17750,12319,22201,11109,29475,6114,25328,4329,15263,3806,14617,2878,13165,1330,9672,105,1817,0,4,0,0,0,0
Dec.22,경인선,1816,간석,279,6,5791,1229,10983,2470,22510,4132,19628,8793,11919,5376,9464,4899,9444,5600,9202,6797,8827,7582,8312,7729,9127,9485,9789,12310,9776,14778,9751,18722,5225,17108,4176,10629,3812,9085,2962,8101,1392,6073,137,1803,0,3,0,1,0,0
Dec.22,경인선,1817,도원,412,2,2214,935,3525,1735,7806,4973,7032,18278,4489,3612,4427,3939,4838,3377,5859,3645,5503,4161,5308,4074,6399,4591,10209,5384,7673,5968,7648,6432,2575,6020,2027,3779,2090,3427,996,2868,387,2288,18,1250,0,6,0,0,0,0
Dec.22,경인선,1821,온수(성공회대입구),125,0,5219,1317,8844,3307,21980,8789,21591,12788,13764,7805,11561,5811,11789,6228,12648,7760,11593,8085,10488,8501,10678,9670,14904,12214,12655,15280,11203,21304,5513,17367,3907,11044,4150,10916,3170,9622,1741,6471,60,698,0,1,0,0,0,0
Dec.22,경인선,1822,중동,807,23,10431,1133,17820,3071,43048,5433,34371,13075,19446,8161,15155,7499,14523,8913,14935,9928,13801,10901,12399,11670,12060,13409,13271,18394,13684,21984,13139,31687,6645,27591,5176,17062,4985,15129,3363,13419,1510,10536,96,1764,0,0,0,0,0,0
Dec.22,경인선,1823,도화,192,3,4181,549,6979,1652,15944,4092,13799,7125,8272,3208,6965,3440,6775,4056,6586,5062,6586,5094,6020,5876,5731,6739,6804,8497,7065,9332,6856,10631,3217,10518,2561,6442,1897,5725,1409,4994,652,4206,52,1681,0,14,0,0,0,0
Dec.22,경원선,1008,이촌(국립중앙박물관),65,3,1082,671,3351,2385,8107,4149,10357,8530,7997,5173,6454,3877,6397,3895,6779,4105,6747,4491,6401,4412,7246,5246,8439,6025,10247,6805,9922,8285,5014,5984,3884,4264,3526,4254,2155,4283,682,2640,56,801,0,0,0,0,0,0
Dec.22,경원선,1009,서빙고,45,0,996,769,2057,3238,3189,4530,3547,8572,3253,4067,3040,2691,2789,2531,3151,2399,3394,2945,3336,2613,4421,3192,5571,3472,7571,3375,6835,3888,2846,3039,1994,1845,1749,1952,1261,1647,366,1128,15,332,0,0,0,0,0,0
Dec.22,경원선,1010,한남,146,0,1637,696,2476,4536,4149,10414,5332,13635,4739,10408,4597,5789,5053,5118,5276,5093,5241,5239,5982,5078,7420,4951,9149,6502,14917,7527,13310,7924,6433,6171,4997,2902,4991,3358,5068,2528,2270,1581,109,512,0,0,0,0,0,0
Dec.22,경원선,1011,옥수,6,0,11,18,9,91,63,30,95,220,30,32,32,172,14,215,13,103,20,13,24,9,25,19,420,65,437,107,38,30,369,19,49,21,38,12,8,12,9,1,1,0,0,0,0,0,0,0
Dec.22,경원선,1012,응봉,125,1,1169,265,3011,972,7123,1496,7881,2254,4965,1411,3641,1263,3222,1324,2904,1759,2832,2062,2580,2594,2623,2743,3270,3581,2923,4439,2641,5130,1271,4489,870,2928,676,2502,567,2635,202,1652,19,510,0,0,0,0,0,0
Dec.22,경원선,1013,왕십리(성동구청),911,7,5587,1100,8394,5961,24256,12259,41089,22252,27051,19635,16853,19784,19003,24022,22269,26646,24862,27217,25981,28108,30479,31139,34187,36336,37139,49908,34869,69341,26768,47536,26225,28674,30310,23639,29807,21675,14294,12253,1598,4470,0,0,0,0,0,0
Dec.22,경원선,1014,청량리(서울시립대입구),1019,13,5203,1587,6963,11174,26928,14753,42444,23718,23190,29361,32960,31873,24128,35217,31245,34105,38918,34948,32727,36873,41139,40018,41113,37143,35298,35405,40993,52717,24085,33875,27639,20104,19172,22580,10844,13089,5318,7590,218,3929,0,0,0,0,0,0
Dec.22,경원선,1016,외대앞,486,10,4643,3202,7658,6511,18348,4466,24084,19007,14301,10834,12216,13341,13160,12436,14799,13276,16252,12120,16261,14293,17629,14218,22133,16380,22366,18769,16348,25282,10656,20060,8715,13694,8984,12926,9004,13757,3938,10807,164,2285,2,50,0,0,0,0
Dec.22,경원선,1017,신이문,1201,2,8794,1684,13798,3589,35116,4283,39765,8691,21499,5121,15949,5618,13929,6739,13866,8416,13203,9720,11311,10453,10850,15072,12323,17441,11194,21906,9486,30355,5767,23796,3654,15565,2838,14069,2213,12760,951,9095,69,1663,1,32,0,0,0,0
Dec.22,경원선,1018,석계,1085,11,5932,1574,10894,3356,23884,5266,27255,8849,17934,7093,15165,7427,14735,9079,14804,10211,14040,12031,12877,12923,12845,17609,13226,22352,13549,26403,11157,37176,8043,25737,6485,17830,6601,16251,5346,13756,2528,9621,151,2089,0,39,0,0,0,0
Dec.22,경원선,1019,광운대,1996,12,5855,1023,12759,2212,29979,5063,27058,13972,14790,10752,11839,9452,12021,11129,12168,10023,12790,11063,12652,12294,12734,12122,14254,15016,14573,16865,11632,25720,6493,19553,5513,13334,5208,11995,4218,10145,2099,9782,147,4751,1,169,0,0,0,0
Dec.22,경원선,1020,월계,789,17,4981,1044,9769,2147,24664,6707,23913,13019,14522,10777,11802,7958,12265,6528,12929,8586,12584,10636,11588,9017,12618,10631,15188,13181,12888,15462,9868,22638,5722,17315,4024,9731,3713,9541,2630,9161,1056,6324,73,1461,0,0,0,0,0,0
Dec.22,경원선,1021,녹천,1022,33,3927,689,7316,1249,21561,4147,19985,5413,10546,2749,8290,3159,7009,3037,8195,4427,6530,4430,5771,5000,5772,6046,7000,7492,6095,9748,4778,14690,3022,11983,1856,7286,1741,6596,1271,6331,461,4335,37,1060,0,1,0,0,0,0
Dec.22,경원선,1022,창동,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Dec.22,경원선,1901,방학,670,9,11291,1623,14669,4603,33966,9140,30863,20897,20093,10826,16836,10390,16184,10133,17935,13092,15994,13215,14776,14847,14903,18121,15902,21649,16776,24759,17751,29243,9492,27245,6658,15466,5895,13086,4522,12162,2116,7542,245,2667,1,2,0,0,0,0
Dec.22,경원선,1902,도봉,261,3,6969,1301,9604,3467,19600,3860,17335,9550,12486,8049,10880,6618,10470,6316,10019,8552,10196,8027,9962,9169,9932,10893,10146,12653,10610,14019,9724,16632,4316,14526,3019,8849,2610,7886,1906,7369,808,4524,148,1652,0,0,0,0,0,0
Dec.22,경원선,1903,도봉산,166,2,5961,972,8663,2003,21075,3628,20622,5625,14407,9006,11582,11680,11809,11442,14209,12489,16386,10294,18679,9136,19001,9307,17513,9457,14369,8989,11215,9909,6031,8144,4047,5613,3138,5208,2067,4893,942,3425,133,1402,0,0,0,0,0,0
Dec.22,경원선,1904,망월사,397,9,7308,1069,12750,3556,27101,4516,26860,14933,16931,12747,14196,9716,14917,12377,14481,11370,15255,11371,13554,13419,14561,13976,15544,15897,15782,19737,10789,26513,6015,22725,4687,13781,4449,12423,3285,11198,1355,7742,267,2824,0,6,0,0,0,0
Dec.22,경원선,1905,회룡,1050,9,14398,1695,26223,4970,55989,7558,46449,12070,28511,10580,25266,10387,24668,12836,22210,15226,20359,16573,17305,18428,17090,22227,16697,29098,15272,34476,11912,44068,7407,41622,5940,24653,5108,21352,3711,17459,1516,11942,272,4784,0,3,0,0,0,0
Dec.22,경원선,1906,의정부,2196,10,10416,2183,24920,6992,50510,12084,47278,34481,27551,36791,24124,26772,26379,31784,29754,35025,31905,39097,33197,36751,37871,34368,41171,40457,44421,46597,45301,60006,28043,52196,27313,31034,20265,26805,16680,21975,7876,16081,893,7722,2,5,0,0,0,0
Dec.22,경원선,1907,가능,419,10,7115,1383,11505,3998,24086,7109,21983,12970,11983,8162,11848,6103,11204,7185,11306,7241,10703,8551,9840,7617,9720,9816,10839,12178,12250,16410,9395,20040,5864,17881,4297,12046,4070,9673,3059,8543,1145,6038,139,2113,0,1,0,0,0,0
Dec.22,경원선,1908,녹양,267,0,4889,769,7710,2218,17660,4988,14931,7964,9021,4523,8309,3558,7623,4935,7803,4983,7065,5959,6472,5466,6959,6752,7619,8432,8484,11468,8424,13879,3812,12404,2639,8250,2464,7479,1486,6481,675,4515,87,1633,0,1,0,0,0,0
Dec.22,경원선,1909,양주,1617,5,4930,1844,10698,5703,29259,10966,23962,10968,17667,7301,15515,6228,14092,7067,13737,8250,12058,8981,10372,9002,10880,11553,13452,14084,14107,18785,14366,22782,6540,21094,4174,14086,2956,12166,1993,11186,794,7211,68,3067,0,2,0,0,0,0
Dec.22,경원선,1910,덕계,28,1,2759,781,8908,4641,12975,3660,12343,6371,6789,2895,5262,1897,5417,2368,4571,2718,4548,3180,4236,3166,4963,4200,6599,5042,6069,8301,5496,9016,1999,9638,1523,5163,936,4847,738,3532,289,2955,22,847,0,0,0,0,0,0
Dec.22,경원선,1911,덕정,4,0,3296,1562,8371,6570,16953,9945,18227,16652,11394,8657,9030,5187,9604,6158,10120,6969,10819,7210,9905,6757,10211,8350,12140,8422,13916,13204,12829,12866,5024,14904,3760,8668,2916,8162,2117,6464,1312,5303,190,1364,0,0,0,0,0,0
Dec.22,경원선,1912,지행,66,3,4755,973,10473,2392,21731,5543,22360,12487,14913,7405,12027,5627,12278,7066,11074,8149,11422,10268,10459,10320,10434,11978,11108,13270,11255,18551,11800,19899,7109,19520,6109,14313,5161,10311,3979,8545,2004,8497,151,2657,0,1,0,0,0,0
Dec.22,경원선,1913,동두천중앙,35,2,2300,541,5120,1975,8075,3616,8349,9762,6324,4189,5793,3574,5714,4640,6102,4148,5739,4949,5229,5118,5792,5355,5509,5390,6159,6734,6340,6724,2596,6194,1945,4732,1306,3317,879,2598,319,3136,8,875,0,0,0,0,0,0
Dec.22,경원선,1914,보산,31,0,1588,412,2012,991,3974,2953,3871,2750,3370,1707,2892,1415,3103,1619,3316,1702,3189,2054,3266,2160,3391,2544,3759,3018,4732,3728,3350,4107,1977,4276,1422,3957,947,2733,460,1972,160,2069,6,614,0,0,0,0,0,0
Dec.22,경원선,1915,동두천,37,0,1053,577,2920,3180,5165,6534,5783,5866,4752,3989,4975,3077,4376,3115,3386,2735,4007,3672,4248,3715,5092,4327,4168,4097,4489,4582,5039,5390,2266,4272,1236,3774,793,2962,646,2172,285,1749,12,623,1,0,0,0,0,0
Dec.22,경원선,1916,소요산,75,0,647,316,875,693,3196,1549,4656,2244,5086,2820,3741,4743,4404,6250,5443,8083,6831,5730,8788,4325,8404,3966,6999,3834,4531,3709,2558,2915,1311,2484,929,1713,571,931,207,769,125,993,7,680,0,9,0,0,0,0
Dec.22,안산선,1751,산본,374,0,8317,1638,22354,5984,55200,13912,49842,28831,25733,21057,23842,19634,23262,21122,24840,24365,24782,27154,24620,25866,27627,28935,30133,33919,29319,41562,31297,64271,19204,54145,17062,31395,17527,25752,13253,22293,5711,14683,600,5183,0,0,0,0,0,0
Dec.22,안산선,1752,대야미,4,0,2565,919,7479,2454,18205,5131,19192,9077,10121,4029,8204,3738,7537,4401,7544,4726,7651,5224,7090,5898,7416,7647,8306,9087,8946,10285,10226,15696,4819,11873,3487,8515,2579,7568,1737,7180,876,4558,118,1247,0,0,0,0,0,0
Dec.22,안산선,1753,반월,7,0,3242,723,7823,2253,16328,3796,15349,8415,9656,3477,7965,3284,7025,3997,7355,4456,7148,4916,6035,5710,5448,7427,7000,9131,8147,10215,7689,15098,3456,10982,2721,8651,1921,7305,1473,6851,598,4197,151,1102,0,0,0,0,0,0
Dec.22,안산선,1754,상록수,384,20,13507,2374,31338,8419,68171,12397,61958,20596,33298,14677,26690,12927,24575,13284,25152,14709,22991,17440,20144,18932,21855,22869,23668,29117,25210,41935,21651,64277,13992,53170,11102,36943,9524,32758,6681,28480,2676,19357,432,5425,0,0,0,0,0,0
Dec.22,안산선,1755,한대앞,46,2,7784,1103,17150,4082,30789,8178,25336,20623,17339,15661,14667,13197,14565,9831,15906,13169,14751,12067,14977,12575,15589,13801,18692,18084,20320,24759,19010,34120,10579,25001,8853,17177,8321,15121,6868,13964,2979,9807,257,2867,0,0,0,0,0,0
Dec.22,안산선,1756,중앙,173,11,9391,1383,30641,10924,57190,15957,45443,34584,26996,29485,23734,20642,25463,20858,28522,26369,27801,29947,26865,29333,29505,30212,35019,36856,39500,48957,38992,69785,26154,56638,24460,36946,25623,30968,22312,26117,9855,20311,1059,6538,0,0,0,0,0,0
Dec.22,안산선,1757,고잔,190,6,4888,1030,15286,4719,30279,13037,21838,28593,14426,15047,13017,11310,13074,10456,13063,10354,12631,12429,13164,11625,15509,11325,16944,12966,23619,18640,22977,24479,9218,20044,7455,12539,8116,11331,5588,9782,2582,8553,237,3668,0,1,0,0,0,0
Dec.22,안산선,1758,초지,194,1,3500,429,11088,3782,22536,9187,16187,10986,9694,5338,7238,4401,7142,4221,7191,4768,6423,5758,5964,5403,6685,6542,7470,7873,9669,11180,10311,16365,4937,15481,3828,10175,3083,8932,1833,8452,775,6008,82,2618,0,2,0,0,0,0
Dec.22,안산선,1759,안산,989,12,9328,1656,12088,16211,20814,39362,20080,33042,18044,15129,15951,12422,15407,15049,17398,14642,17899,14824,18398,15438,20181,16607,24795,18385,43295,23577,46250,24907,19983,20612,16866,15789,10025,12862,4509,10122,1470,6466,111,2972,0,4,0,0,0,0
Dec.22,안산선,1760,신길온천,20,0,2011,132,3874,1499,7166,3574,6085,2981,3630,1361,3192,1304,2746,1694,2686,1766,2578,1734,2240,2137,2431,2719,3043,2954,4235,4606,3772,5801,1845,4616,1315,3254,670,2833,520,2635,197,1881,23,638,0,0,0,0,0,0
Dec.22,안산선,1761,정왕,126,3,6661,875,10182,12318,19062,23801,16351,29159,11850,20407,11506,13515,12239,11567,13513,11026,13270,12316,13530,11762,16822,12565,21959,12665,27207,18422,31675,20835,14288,16380,11572,13014,7770,10879,4980,9184,1727,6520,99,2231,1,6,0,0,0,0
Dec.22,안산선,1762,오이도,174,0,6115,353,14475,7398,30650,13016,24728,14357,14412,7479,12490,7197,11675,8891,13124,11379,12433,10870,11319,12171,12484,13744,15105,16474,18897,20302,18952,26202,9788,23052,7700,15491,7314,13200,4564,11814,1500,8502,13,4356,0,11,0,0,0,0
Dec.22,안산선,1763,수리산,4,0,3095,531,8634,1768,17976,4410,16731,7897,8843,3153,7602,3744,7390,3104,6213,3261,5984,3588,4930,3969,5760,5130,5397,6128,5545,7488,5684,11924,2741,9749,1819,6860,1322,5533,947,5334,435,3543,53,1009,0,0,0,0,0,0
Dec.22,과천선,1450,선바위,4,0,955,1112,5801,9625,16929,20480,17769,25921,13731,16466,10988,8005,9980,7955,10441,8743,10915,8336,11232,8102,12892,8738,17027,10718,27153,12913,30978,16643,13574,12148,9193,8704,7620,8755,4125,8139,1223,5046,125,840,0,0,0,0,0,0
Dec.22,과천선,1451,경마공원,3,0,419,411,888,2314,1953,3753,2424,10299,2220,23209,2326,39182,2668,20581,3280,17587,4506,15208,6969,9611,10042,5712,18821,3607,31184,2451,61430,2455,7805,1756,2036,1142,704,1049,289,965,137,638,21,130,0,0,0,0,0,0
Dec.22,과천선,1452,대공원,6,0,66,326,251,2612,638,3732,980,11999,1425,18974,1744,17683,7687,7148,11420,6169,7908,6758,8225,5300,8967,3103,9759,2169,11140,1224,9478,1080,4212,706,2516,450,646,415,319,378,173,231,13,64,1,1,0,0,0,0
Dec.22,과천선,1453,과천,15,9,2495,341,9650,2036,27435,4752,22750,9189,15828,6096,13308,4858,11925,5040,11727,6326,11296,7206,10188,8393,10492,10141,11503,12674,11258,15486,9428,22811,4523,18332,3097,12403,2395,13624,1947,12997,736,8123,80,1867,0,0,0,0,0,0
Dec.22,과천선,1454,정부과천청사,6,1,1745,985,7268,11158,19794,24075,16644,69017,12686,19184,11985,12190,13776,11171,14625,11667,15410,12567,16340,12824,17939,13234,25470,14824,35976,18322,52292,23854,14061,18908,12706,11175,11851,10662,7299,9568,2353,5880,139,1442,0,0,0,0,0,0
Dec.22,과천선,1455,인덕원,86,5,7114,3410,27523,16186,77327,38168,61902,99257,40869,39336,34935,22671,32330,21853,34454,22517,33744,26110,31359,26822,35827,30229,46035,39552,63482,56632,80585,83137,31641,65844,25425,38412,25737,38588,17699,38150,6946,24389,624,6554,1,0,0,0,0,0
Dec.22,과천선,1456,평촌,61,2,4051,2774,20049,9658,58653,31629,41469,84968,25022,31317,20960,18097,20328,15471,21077,15467,20627,19280,21015,18624,24244,18963,29411,23818,46823,32399,62434,48562,24771,40209,19102,23025,18499,20378,14102,19629,5279,11998,506,3953,0,2,0,0,0,0
Dec.22,과천선,1457,범계,115,2,8439,3082,34964,12059,92269,22540,64886,61397,40307,39697,34736,31495,34794,31569,38639,34291,37899,38930,38340,38826,42923,44416,50817,50502,56099,69002,61777,100687,38179,74954,39801,41577,33384,37353,27853,34536,11606,20928,899,5709,0,0,0,0,0,0
Dec.22,분당선,1023,선릉,39,2,1167,1321,2221,10965,5042,42843,7170,138556,6272,95747,7748,43292,10103,26770,12077,21994,13726,23899,16042,19618,20264,16203,29081,19442,49935,25444,77146,28676,34095,15887,22513,7712,23576,6657,20552,5823,5908,3653,337,682,0,0,0,0,0,0
Dec.22,분당선,1024,한티,49,5,2172,1391,7234,8624,21750,22077,29281,47978,19381,41721,15416,26705,18388,21759,20731,24780,21719,30360,22288,24096,26835,25788,31584,29614,44246,37831,47593,38263,29148,25905,31872,15283,21962,14855,24003,13750,4408,7662,171,459,0,0,0,0,0,0
Dec.22,분당선,1025,도곡,70,2,1578,1285,4313,8107,9798,15141,15452,25022,11583,18379,10104,9173,10975,10017,11150,9555,12242,9919,13260,10020,15784,11202,18312,11871,23393,13892,22911,15245,11815,12777,9073,8296,7289,7870,5162,7413,1336,4394,54,424,0,0,0,0,0,0
Dec.22,분당선,1026,구룡,1,1,416,1042,1455,7339,3559,9840,5354,5568,4623,2759,4100,2264,3764,1796,3807,2236,3575,2398,3166,2575,4538,2788,11242,2931,7671,3550,4434,4324,2159,3441,1215,2393,1557,2274,705,2191,196,1512,11,76,0,0,0,0,0,0
Dec.22,분당선,1027,개포동,3,0,951,861,3044,8615,8858,5977,10561,9252,6988,7011,5835,5600,5709,4765,6333,5364,6268,5988,6406,6043,7490,6795,12151,7306,11119,8767,8839,10461,5250,8595,4231,5445,4349,5502,3817,5236,1590,3321,53,153,0,0,0,0,0,0
Dec.22,분당선,1028,대모산입구,9,0,1989,871,4980,4242,16034,6004,19583,10334,11968,5388,8179,4395,7946,4550,7685,4929,7294,5795,6346,5925,7252,7810,10342,8216,10977,10443,9824,13473,4243,11261,2666,7014,2488,7610,1641,7542,624,4749,17,369,0,0,0,0,0,0
Dec.22,분당선,1030,수서,31,7,3161,4552,6391,15443,23671,27220,37632,46637,25169,27446,26239,20046,20451,16714,23644,21058,23533,19471,16995,19768,26431,22877,31043,27912,38880,34407,42552,43602,19721,30642,20119,20504,14691,18908,14893,16579,8054,7126,93,1023,0,0,0,0,0,0
Dec.22,분당선,1031,복정,0,0,0,0,1,0,2,0,5,0,1,0,2,0,4,0,0,0,2,0,3,0,3,0,1,0,2,0,2,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Dec.22,분당선,1846,수원,534,1,4826,829,9511,3789,23558,8553,25181,13839,12528,11174,8641,9093,9268,11406,10115,11564,10351,12291,10933,11994,13634,11846,16263,14712,18586,22680,20886,26655,15211,18381,15028,9766,14014,8591,12530,6503,5031,3875,115,874,1,1,0,0,0,0
Dec.22,분당선,1847,서울숲,108,2,2384,607,4699,5219,12205,23132,21191,43340,15192,35138,9413,21733,10184,18285,12396,18650,14303,21010,16161,19607,20374,19582,25696,20570,41459,23086,50391,29078,27832,17646,18302,9441,18142,8185,11749,7710,3264,4450,109,1063,0,0,0,0,0,0
Dec.22,분당선,1848,압구정로데오,187,2,2693,987,4234,11194,5348,24883,8490,74896,7845,106171,9416,57826,14372,44747,18325,39548,23278,40057,30333,36105,39772,35476,49744,40588,70277,50367,93787,58803,69873,33259,58248,14832,47465,10372,40075,7926,16786,5191,821,990,1,0,0,0,0,0
Dec.22,분당선,1849,강남구청,20,0,1353,563,2539,5150,6493,14671,10662,53998,8101,44552,8336,21129,9961,15557,10704,14973,12117,16129,14474,14685,16602,14789,19941,15234,30845,19024,49905,22451,25053,13483,14742,7526,14480,6438,10591,6214,3876,3871,147,880,0,0,0,0,0,0
Dec.22,분당선,1850,선정릉,8,1,928,1081,2050,5185,4048,12543,7209,49453,6134,41210,5350,16193,6945,11708,8576,8494,9594,9206,10698,8706,12514,7495,15378,8421,27055,9614,43168,10619,21286,6696,11262,3986,9715,3681,7127,3715,2568,2464,168,550,0,0,0,0,0,0
Dec.22,분당선,1851,가천대,32,0,4954,657,7494,3486,17684,6251,26028,22695,16126,20674,12012,14618,13690,11481,14154,15170,14098,14736,16381,11837,16761,12435,21302,13710,22981,17549,15780,24664,10411,19518,6706,14929,6166,15388,4954,15686,2958,11281,112,1124,0,0,0,0,0,0
Dec.22,분당선,1852,태평,186,8,14401,1440,19918,5795,41308,7864,62923,17870,42947,12080,24790,11623,20338,13805,21372,15350,21043,16225,19186,18147,19240,25871,20581,29990,23005,36402,19094,47200,11382,35455,8830,25686,6982,28098,5000,22880,2120,13275,71,1370,0,0,0,0,0,0
Dec.22,분당선,1853,모란,310,12,14890,2891,21542,10569,51396,22951,67779,35588,47574,26865,31884,25012,30546,29742,33744,32208,34191,34192,34250,35252,35127,41763,39554,44674,41513,49708,42395,65877,23072,49812,17651,35356,16081,32569,13518,28169,7242,18006,388,1800,0,0,0,0,0,0
Dec.22,분당선,1854,야탑,105,4,7492,3195,18668,15901,51941,40033,64420,98854,43584,56285,36757,38759,38314,35492,39685,39823,40555,43275,41369,40178,47623,45294,53990,49051,71077,61703,88475,78152,41643,57350,33380,37254,31841,30858,22338,30447,8866,18058,435,2907,0,0,0,0,0,0
Dec.22,분당선,1855,서현,278,7,4926,3385,12885,12414,34286,32777,41498,85640,31191,70704,27999,45187,30623,38599,34561,40569,36557,42857,41708,44718,49022,42497,57746,49378,72127,57022,91372,70387,50888,48265,51937,29132,43780,24250,34485,20995,14180,12624,764,1972,0,0,0,0,0,0
Dec.22,분당선,1856,수내,134,1,2634,1973,7132,8527,17785,21853,25425,59254,17315,44092,14463,24859,16738,18401,19004,18736,20894,19764,23450,20000,26258,20256,29475,21631,42865,26862,53873,31017,29914,22267,26331,13905,18971,13110,14769,11740,4350,6559,247,1295,0,0,0,0,0,0
Dec.22,분당선,1857,정자,277,2,3346,1242,10222,12749,27581,39549,35349,79521,25770,48937,20105,24310,21419,20337,22308,20155,23429,22475,24223,21006,29488,24009,33174,29546,59207,42655,65012,52695,33999,39775,28561,24615,32419,22041,27695,21589,12247,13661,1308,3654,0,0,0,0,0,0
Dec.22,분당선,1858,미금,582,1,3553,785,11498,11507,25710,21113,33273,45851,23395,35917,22462,22366,25772,22329,25744,23953,26844,26397,28460,26932,33841,27002,33879,30754,38992,35240,40856,44056,20943,32324,18375,22552,19193,20709,14316,18629,5142,11086,305,2665,0,0,0,0,0,0
Dec.22,분당선,1859,오리,742,6,3891,553,13972,8204,28880,15148,32733,34142,21656,20125,17804,10602,17394,10947,17702,12413,17555,11964,17037,12458,19177,14179,22253,15756,29982,18000,34408,23936,13230,20046,10340,13563,10190,12697,6562,11399,2454,8310,107,2189,0,0,0,0,0,0
Dec.22,분당선,1860,이매,45,4,2409,931,5732,3572,14119,7310,16106,16420,11586,7846,9630,6346,9811,6128,9624,6784,8510,7390,8746,7762,9951,9069,14240,10769,13982,12934,13485,16129,7092,12431,4917,8304,4600,8088,3974,8436,935,5219,64,969,0,0,0,0,0,0
Dec.22,분당선,1861,보정,103,0,1075,107,3357,1508,8875,2583,10142,6931,7205,2527,5972,1664,5241,2131,3916,2392,4397,2581,3654,3146,4550,4226,4903,4885,5488,6279,4139,6955,1846,6344,1493,4210,1630,4087,1230,4366,460,3074,8,173,0,0,0,0,0,0
Dec.22,분당선,1862,죽전,1347,7,4827,796,15395,7016,41627,15618,37962,27341,23782,26411,18577,21339,18788,21069,20019,20763,20366,21546,21416,22496,24848,24755,28347,28721,33718,34544,33413,47098,21143,39804,25036,25502,13405,23402,9506,21800,3233,16687,6,9536,0,0,0,0,0,0
Dec.22,분당선,1863,구성,109,0,2528,382,7474,2416,21161,4528,21568,8319,13743,3884,10234,3420,8906,4195,7789,4910,7460,5215,6892,6212,6873,8170,8299,9869,8781,16025,7072,20018,3267,19080,2648,11920,2459,9615,1664,10885,553,6782,15,501,1,0,0,0,0,0
Dec.22,분당선,1864,신갈,36,0,2709,240,8626,1577,19116,2757,20472,7161,12224,4093,9357,3999,8595,4391,7547,5361,7665,6081,7114,6438,7313,7939,8641,8341,7731,12486,5997,17737,2848,14430,2045,10228,1842,8335,1356,9683,527,5916,19,360,0,0,0,0,0,0
Dec.22,분당선,1865,기흥,196,1,5790,802,14408,4651,37470,11185,38323,25521,21113,11910,14944,8736,14532,10047,14218,9539,14124,12683,14149,11804,14975,13834,17270,16803,22226,23950,25180,37620,12981,29971,9671,19003,9482,15928,7268,16455,2824,11171,54,1329,0,0,0,0,0,0
Dec.22,분당선,1866,상갈,73,1,2964,525,8125,2425,20151,6698,21732,9570,12444,5316,10434,4335,9314,4669,8244,4969,7621,6568,7237,6598,7681,7948,8480,11034,11053,13626,11137,18398,5482,15203,3939,11445,3395,10745,2135,9863,833,6274,8,791,0,0,0,0,0,0
Dec.22,분당선,1867,청명,8,0,2189,880,7171,2050,19481,4820,18999,10460,9405,4059,6624,3501,5808,3711,5731,4365,5952,5079,5286,5389,6215,6104,7699,7357,8711,10769,9697,15500,3977,13068,2923,8493,2397,8229,2104,7538,797,4847,13,480,0,0,0,0,0,0
