,0
670,데이터 분석
671,데이터 시각화
672,소셜미디어
673,헬스케어
674,블록체인
675,
676,웹 프로그래밍
677,
678,웹 프로그래밍
679,데이터베이스
680,모바일 애플리케이션
681,빅데이터
682,데이터 분석
683,IT테스트/마케팅
684,
685,웹 프로그래밍
686,플랫폼 서비스
687,ICT 융합
688,
689,웹 프로그래밍
690,데이터 분석
691,플랫폼 서비스
692,모바일 애플리케이션
693,데이터베이스
694,
695,웹 프로그래밍
696,서버 프로그래밍
697,데이터베이스
698,
699,ICT 융합
700,IoT
701,스마트팩토리
702,스마트홈
703,
704,웹 프로그래밍
705,
706,웹 프로그래밍
707,데이터베이스
708,서버 프로그래밍
709,인공지능 서비스
710,자연어처리
711,
712,네트워크 
713,시스템SW
714,모바일 애플리케이션
715,클라우드 컴퓨팅
716,
717,인공지능 서비스
718,
719,웹 프로그래밍
720,모바일 애플리케이션
721,
722,임베디드SW 
723,
724,디지털콘텐츠
725,데이터 시각화
726,UI/UX
727,웹 프로그래밍
728,플랫폼 서비스
729,
730,SW아키텍처
731,
732,ICT 융합
733,IT테스트/마케팅
734,통신서비스
735,전파ㆍ위성
736,
737,IT테스트/마케팅
738,
739,지능형 로봇
740,자율주행차
741,ICT 융합
742,
743,모바일 애플리케이션
744,
745,모바일 애플리케이션
746,웹 프로그래밍
747,데이터베이스
748,인공지능 서비스
749,음성인식
750,AR/VR
751,
752,웹 프로그래밍
753,SW아키텍처
754,데이터베이스
755,서버 프로그래밍
756,모바일 애플리케이션
757,UI/UX
758,클라우드 컴퓨팅
759,데이터 분석
760,데이터 시각화
761,소셜미디어
762,헬스케어
763,블록체인
764,
765,웹 프로그래밍
766,
767,웹 프로그래밍
768,데이터베이스
769,모바일 애플리케이션
770,빅데이터
771,데이터 분석
772,IT테스트/마케팅
773,
774,웹 프로그래밍
775,플랫폼 서비스
776,ICT 융합
777,
778,웹 프로그래밍
779,데이터 분석
780,플랫폼 서비스
781,모바일 애플리케이션
782,데이터베이스
783,
784,웹 프로그래밍
785,서버 프로그래밍
786,데이터베이스
787,
788,ICT 융합
789,IoT
790,스마트팩토리
791,스마트홈
792,
793,웹 프로그래밍
794,
795,웹 프로그래밍
796,데이터베이스
797,서버 프로그래밍
798,인공지능 서비스
799,자연어처리
800,
